Paper ID,Title,Primary candidate type,Secondary candidate types,Engineering subtype,Status,Patient cohorts,Statistical association,Prediction models,External validation,Bacterial perturbation,Host pathway intervention,Rescue / add-back,Cell / animal models,Method development,Microbial engineering,Materials / delivery
ITB-000785,Helicobacter pylori and non-Helicobacter pylori bacterial flora in gastric mucosal and tumour specimens of patients with primary gastric lymphoma.,Clinical statistics,,,Automatic candidate; requires manual review,"In this study, both a MG and a specific immunohistochemical stain (IMM) for H. pylori (Dako B471) were performed on sequential slides of resected material containing tumour and non-tumorous gastric mucosa from patients with primary gastric lymphoma (n = 52). | In total, 32 (61.5%) patients were H. pylori positive using IMM and 34 (65.4%) were non-H. pylori positive using MG. | In 24 out of the 34 patients, the non-H. pylori flora consisted mainly of cocci in combination with rods in 15 patients, mostly in minor quantities; in another 10 patients, high numbers of both cocci and different types of rods were present. | Most non-H. pylori bacteria were localized superficially, although in 22 patients minor quantities of non-H. pylori were also seen in the glandular lumina. | After all of the patients had been analysed, no differences in the density of H. pylori and of non-H. pylori flora were found. | Only when comparing patients who had a small-cell lymphoma with those who had a large-cell lymphoma was a significantly higher density of H. pylori found in the corpus mucosa of large-cell lymphomas and a higher prevalence of non-H. pylori was found in tumours, in antrum or corpus, of patients with large-cell lymphomas. | In conclusion, with joint evaluation using MG and a H. pylori-specific immunohistochemical stains, the proportion of H. pylori-positive gastric lymphoma patients was lower than in most previous studies but other bacteria were found in a relatively high proportion.",There is an association between Helicobacter pylori (H. pylori) and gastric mucosa-associated lymphoid tissue (MALT) and MALT lymphoma.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000787,Helicobacter pylori-dependent NF-kappa B activation in newly established Mongolian gerbil gastric cancer cell lines.,Mechanistic studies,,,Automatic candidate; requires manual review,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"Rapid phosphorylation of IkappaB, Erk1/2, and AKT of these cells was observed by Interleukin-1 beta stimulation, and luciferase reporter gene assay on transcriptional activation of Nuclear Factor kappa B after challenging with either H. pylori NCTC11637 or its isogenic cagE-knockout mutant, H. pylori revealed the cagE-dependent NF-kappaB transcriptional activation.",Not found in abstract / unknown,"However, there have been no established adenocarcinoma cell lines from this model animal. | In the present study, we have established cancer cell lines from a primary gastric cancer tissue of a Mongolian gerbil. | The derived cells could be stably attached with H. pylori, revealed under a scanning electron microscope, and easily transplanted to the nude mice. | The newly established cancer cell lines from the in vivo gastric carcinogenesis model animal, the Mongolian gerbil, can be used to develop effective therapeutic strategies against gastric cancer, especially in exploring the effect of H. pylori, and thus might greatly contribute to gastric cancer prevention and treatment in humans.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000788,Annexin A4: A novel molecular marker for gastric cancer with Helicobacter pylori infection using proteomics approach.,Reviews / synthesis,,,Automatic candidate; requires manual review,"Here, we used a proteomic approach to find differentially expressed proteins between the normal and tumor tissue of gastric cancer patients infected with H. pylori. | In our results, we found annexin A4 was over-expressed in patients infected with H. pylori and was found in tumor cells, and over-expressed in gastric cancer SCM-1 cells after H. pylori infection.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000789,Helicobacter pylori infection is an independent risk factor for Runx3 methylation in gastric cancer.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"Then, we correlated Runx3 methylation in the cancer tissue specimens with clinicopathological factors as well as the mucosal backgrounds, such as intestinal metaplasia surrounding the cancer cells and Helicobacter pylori (H. pylori) infection. | In comparison to the clinicopathological factors, Runx3 methylation was significantly correlated with both age and tumor location. | A multivariate analysis demonstrated that age and tumor location as well as H. pylori infection were independent risk factors for Runx3 methylation.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Runx 3 expression is frequently suppressed by the promoter hypermethylation in gastric cancer cell lines and tissues.,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000790,"Helicobacter pylori infection promotes methylation and silencing of trefoil factor 2, leading to gastric tumor development in mice and humans.",Mechanistic studies,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"TFF2 expression is frequently lost in gastric neoplasms, but the nature of the silencing mechanism and associated impact on tumorigenesis have not been determined. | TFF2 methylation levels were inversely correlated with TFF2 messenger RNA levels and could be used to discriminate between disease-free controls, H pylori-infected, and tumor tissues.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"TFF2 expression is frequently lost in gastric neoplasms, but the nature of the silencing mechanism and associated impact on tumorigenesis have not been determined. | METHODS: We investigated the epigenetic silencing of TFF2 in gastric biopsy specimens from individuals with Helicobacter pylori-positive gastritis, intestinal metaplasia, gastric cancer, and disease-free controls. | Genome demethylation restored TFF2 expression in gastric cancer cell lines, so TFF2 silencing requires methylation.",Not found in abstract / unknown,"TFF2 function and methylation were manipulated in gastric cancer cell lines. | The effects of Tff2 deficiency on tumor growth were investigated in the gp130(F/F) mouse model of gastric cancer. | Genome demethylation restored TFF2 expression in gastric cancer cell lines, so TFF2 silencing requires methylation. | In Tff2-deficient gp130(F/F)/Tff2(-/-) mice, proliferation of mucosal cells and release of T helper cell type-1 (Th-1) 1 cytokines increased, whereas expression of gastric tumor suppressor genes and Th-2 cytokines were reduced, compared with gp130(F/F)controls. | The fundus of gp130(F/F)/Tff2(-/-) mice displayed glandular atrophy and metaplasia, indicating accelerated preneoplasia. | Experimental H pylori infection in wild-type mice reduced antral expression of Tff2 by increased promoter methylation.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000791,Mycoplasma hyorhinis infection in gastric carcinoma and its effects on the malignant phenotypes of gastric cancer cells.,Clinical statistics,,,Automatic candidate; requires manual review,"RESULTS: Mycoplasma hyorhinis infection in gastric cancer tissues was revealed and statistical analysis indicated a significant association between mycoplasma infections and lymph node metastasis, Lauren's Classification, TNM stage, and age of the patients.","Statistical analysis was used to check the association between mycoplasma infection and clinicopathologic parameters. | RESULTS: Mycoplasma hyorhinis infection in gastric cancer tissues was revealed and statistical analysis indicated a significant association between mycoplasma infections and lymph node metastasis, Lauren's Classification, TNM stage, and age of the patients. | Mycoplasma hyorhinis promoted tumor cell migration, invasion and metastasis in vitro and in vivo, which was possibly associated with the enhanced phosphorylation of EGFR and ERK1/2.",Not found in abstract / unknown,Not found in abstract / unknown,The antibody against p37 protein of Mycoplasma hyorhinis could inhibit the migration of the infected cells.,Not found in abstract / unknown,Not found in abstract / unknown,"Transwell chamber assay and metastasis assay were used to evaluate mycoplasma hyorhinis' effects on metastasis in vitro and in vivo. | Mycoplasma hyorhinis promoted tumor cell migration, invasion and metastasis in vitro and in vivo, which was possibly associated with the enhanced phosphorylation of EGFR and ERK1/2.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000792,A possible role of cIAP2 in Helicobacter pylori-associated gastric cancer.,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"We measured the expression of cIAP2 at mRNA and protein levels in a panel of gastric cancer cell lines and human gastric cancer tissues by semi-quantitative reverse transcriptase PCR (RT-PCR), quantitative real time PCR (qPCR), immunoblotting, and immunohistochemistry. | Infection of gastric mucosa by HP enhances the expression of cIAP2 in mouse gastric tissues.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000793,Helicobacter pylori promotes epithelial-mesenchymal transition in gastric cancer by downregulating programmed cell death protein 4 (PDCD4).,Unresolved,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"Helicobacter pylori, a Gram-negative, microaerophilic bacterium found in the stomach, is assumed to be associated with carcinogenesis, invasion and metastasis in digestive diseases. | Cytotoxin-associated gene A (CagA) is an oncogenic protein of H. pylori that is encoded by a Cag pathogenicity island related to the development of gastric cancer. | These changes were associated with degree of tissue malignancy.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"H. pylori may promote EMT in human gastric cancer cell lines, but the specific mechanisms are still obscure. | Thus, H. pylori CagA induced EMT in gastric cancer cells, which reveals a new signaling pathway of EMT in gastric cancer cell lines.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000796,Mycoplasma hyorhinis infection promotes NF-κB-dependent migration of gastric cancer cells.,Clinical statistics,,,Automatic candidate; requires manual review,"Chronic infection of Mycoplasma hyorhinis (M. hyorhinis) has been postulated to be associated with several types of cancer, but its effect on patients' survival and host factors mediating its infection remain unclear.","Chronic infection of Mycoplasma hyorhinis (M. hyorhinis) has been postulated to be associated with several types of cancer, but its effect on patients' survival and host factors mediating its infection remain unclear.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,"M. hyorhinis infection is inhibited by siRNA-mediated knockdown of ANXA2 or EGFR, but is enhanced by expression of ectopic ANXA2 or EGFR.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
ITB-000798,Ablation of osteopontin suppresses N-methyl-N-nitrosourea and Helicobacter pylori-induced gastric cancer development in mice.,Mechanistic studies,,,Automatic candidate; requires manual review,Not found in abstract / unknown,"In addition, a negative correlation was clearly identified between expression of OPN and iNOS in human gastric cancer tissues.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown,Wild-type (WT) and OPN knockout (KO) mice were treated with N-methyl-N-nitrosourea (MNU) and infected with H.pylori.,Not found in abstract / unknown,"Wild-type (WT) and OPN knockout (KO) mice were treated with N-methyl-N-nitrosourea (MNU) and infected with H.pylori. | Mice were killed 50 weeks after treatment, and stomach tissues were assessed by histopathological examination, immunohistochemistry, quantitative real-time RT-PCR and western blotting. | To clarify the carcinogenic effects of OPN, we also conducted an in vitro study using AGS human gastric cancer cell line and THP-1 human monocytic cell line. | The overall incidence of gastric tumors was significantly decreased in OPN KO mice compared with WT mice. | Apoptotic cell death was significantly enhanced in OPN KO mice and was accompanied by upregulation of signal transducer and activator of transcription 1 (STAT1) and inducible nitric oxide synthase (iNOS). | In vitro study, OPN suppression also caused STAT1 upregulation and iNOS overexpression in AGS and THP-1 cells, which resulted in apoptosis of AGS cells.",Not found in abstract / unknown,Not found in abstract / unknown,Not found in abstract / unknown
